CODACT;LIBACT;TYPE;Libellé TYPE (local);Libellé activité niveau 3 (220 postes);Libellé activité niveau 2 (47 postes);Libellé activité niveau 1 (18 postes);Libellé activité niveau 0 (13 postes);Libellé activité niveau -1 (6 postes)
GM101;Grand magasin;C;Commerce;Grand magasin;Grands magasins;Grands magasins;Grands magasins;Non alimentaire
CA101;Charcuterie - Traiteur - Epicerie fine;C;Commerce;Charcuterie - Traiteur - Epicerie fine;Alimentaire spécialisé;Alimentaire;Alimentaire;Alimentaire
CA102;Traiteur asiatique;C;Commerce;Traiteur asiatique;Alimentaire spécialisé;Alimentaire;Alimentaire;Alimentaire
CA103;Boulangerie - Boulangerie Pâtisserie;C;Commerce;Boulangerie - Boulangerie Pâtisserie;Alimentaire spécialisé;Alimentaire;Alimentaire;Alimentaire
CA104;Pâtisserie;C;Commerce;Pâtisserie;Alimentaire spécialisé;Alimentaire;Alimentaire;Alimentaire
CA105;Chocolaterie - Confiserie;C;Commerce;Chocolaterie - Confiserie;Alimentaire spécialisé;Alimentaire;Alimentaire;Alimentaire
CA106;Torréfacteur -  Commerce détail  thé et café;C;Commerce;Torréfacteur - Commerce détail thé et café;Alimentaire spécialisé;Alimentaire;Alimentaire;Alimentaire
CA107;Vente de produits surgelés;C;Commerce;Vente de produits surgelés;Alimentaire spécialisé;Alimentaire;Alimentaire;Alimentaire
CA108;Vente de fruits et légumes;C;Commerce;Vente de fruits et légumes;Alimentaire spécialisé;Alimentaire;Alimentaire;Alimentaire
CA109;Boucherie - Boucherie-Charcuterie;C;Commerce;Boucherie - Boucherie-Charcuterie;Alimentaire spécialisé;Alimentaire;Alimentaire;Alimentaire
CA110;Poissonnerie;C;Commerce;Poissonnerie;Alimentaire spécialisé;Alimentaire;Alimentaire;Alimentaire
CA111;Commerce détail de boissons;C;Commerce;Commerce détail de boissons;Alimentaire spécialisé;Alimentaire;Alimentaire;Alimentaire
CA112;Crèmerie - Fromagerie;C;Commerce;Crèmerie - Fromagerie;Alimentaire spécialisé;Alimentaire;Alimentaire;Alimentaire
CA113;Glacier : vente à emporter et consommation sur place;C;Commerce;Glacier : vente à emporter et consommation sur place;Alimentaire spécialisé;Alimentaire;Alimentaire;Alimentaire
CA114;Produits alimentaires spécialisés régionaux et étrangers;C;Commerce;Produits alimentaires spécialisés régionaux et étrangers;Alimentaire spécialisé;Alimentaire;Alimentaire;Alimentaire
CA115;Produits alimentaires bio et nature;C;Commerce;Produits alimentaires bio et circuits courts;Alimentaire spécialisé;Alimentaire;Alimentaire;Alimentaire
CA201;Monoprix;C;Commerce;Monoprix;Alimentaire généraliste;Alimentaire;Alimentaire;Alimentaire
CA202;Supermarché classique;C;Commerce;Supermarché classique;Alimentaire généraliste;Alimentaire;Alimentaire;Alimentaire
CA203;Supermarché discount;C;Commerce;Supermarché discount;Alimentaire généraliste;Alimentaire;Alimentaire;Alimentaire
CA204;Supermarché spécialisé;C;Commerce;Supermarché spécialisé;Alimentaire généraliste;Alimentaire;Alimentaire;Alimentaire
CA205;Alimentation générale de luxe > 300 m²;C;Commerce;Alimentation générale de luxe > 300 m²;Alimentaire généraliste;Alimentaire;Alimentaire;Alimentaire
CA206;Hypermarché;C;Commerce;Hypermarché;Alimentaire généraliste;Alimentaire;Alimentaire;Alimentaire
CA301;Alimentation générale  <120m²;C;Commerce;Alimentation générale <120m²;Alimentaire généraliste;Alimentaire;Alimentaire;Alimentaire
CA302;Supérette  classique;C;Commerce;Supérette classique;Alimentaire généraliste;Alimentaire;Alimentaire;Alimentaire
CA303;Supérette  discount;C;Commerce;Supérette discount;Alimentaire généraliste;Alimentaire;Alimentaire;Alimentaire
CA304;Supérette  spécialisée;C;Commerce;Supérette spécialisée;Alimentaire généraliste;Alimentaire;Alimentaire;Alimentaire
