Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Commerce alimentaire (localisation) 2020
1;null;B200
10;null;B200
100;null;B203
1000;null;B203
10000;null;B200
100000;null;B203
100001;null;B203
100002;null;B203
100003;null;B203
100004;null;B203
100005;null;B203
100006;null;B203
100007;null;B203
100008;null;B203
100009;null;B203
10001;null;B200
100010;null;B203
100011;null;B203
100012;null;B203
100013;null;B203
100014;null;B203
100015;null;B203
100016;null;B203
100017;null;B203
100018;null;B203
100019;null;B203
10002;null;B200
100020;null;B203
100021;null;B203
100022;null;B203
100023;null;B203
100024;null;B203
100025;null;B203
100026;null;B203
100027;null;B204
100028;null;B100
100029;null;B200
10003;null;B200
100030;null;B203
100031;null;B204
100032;null;B200
100033;null;B203
100034;null;B204
100035;null;B203
100036;null;B100
100037;null;B203
100038;null;B203
100039;null;B204
10004;null;B200
100040;null;B204
100041;null;B204
100042;null;B204
100043;null;B204
100044;null;B204
100045;null;B204
100046;null;B204
100047;null;B204
100048;null;B204
100049;null;B204
10005;null;B203
100050;null;B204
100051;null;B204
100052;null;B204
100053;null;B204
100054;null;B204
100055;null;B204
100056;null;B204
100057;null;B204
100058;null;B204
100059;null;B204
10006;null;B203
100060;null;B204
100061;null;B204
100062;null;B204
100063;null;B206
100064;null;B206
100065;null;B206
100066;null;B206
100067;null;B203
100068;null;B100
100069;null;B100
10007;null;B203
100070;null;B100
100071;null;B200
100072;null;B203
100073;null;B206
100074;null;B200
100075;null;B203
100076;null;B203
100077;null;B100
100078;null;B100
100079;null;B200
10008;null;B203
100080;null;B200
100081;null;B203
100082;null;B203
100083;null;B203
100084;null;B203
100085;null;B203
100086;null;B203
100087;null;B204
100088;null;B100
100089;null;B203
10009;null;B203
100090;null;B203
100091;null;B204
100092;null;B206
100093;null;B200
100094;null;B200
100095;null;B200
100096;null;B200
100097;null;B200
100098;null;B200
100099;null;B203
1001;null;B203
10010;null;B203
100100;null;B203
100101;null;B203
100102;null;B203
100103;null;B203
100104;null;B203
100105;null;B203
100106;null;B203
100107;null;B203
